BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2025-02-20,374.5,384.5,373.6,42089,1.58478116E7,319
2025-02-18,377.0,389.6,375.0,74518,2.83745849E7,542
2025-02-17,382.0,386.9,370.7,108899,4.12120545E7,638
2025-02-16,370.7,370.9,365.0,70533,2.60144904E7,422
2025-02-13,363.0,366.0,360.0,47627,1.7318839E7,307
2025-02-12,363.1,370.0,360.0,47038,1.71474545E7,305
2025-02-11,364.0,370.0,361.0,48342,1.76105104E7,336
2025-02-10,364.1,369.9,363.2,28859,1.05331068E7,288
2025-02-09,366.0,370.0,358.6,55880,2.05033535E7,313
2025-02-06,365.9,368.0,359.0,73453,2.68810833E7,378
2025-02-05,365.0,370.1,363.0,50984,1.8697457E7,354
2025-02-04,369.3,379.0,367.0,54568,2.02613194E7,371
2025-02-03,372.0,385.5,369.0,147482,5.55513073E7,884
2025-02-02,367.0,367.0,355.0,81796,2.96836222E7,566
2025-01-28,357.0,362.0,350.0,104728,3.73977156E7,503
2025-01-27,353.0,362.8,351.0,95052,3.35678637E7,579
2025-01-26,356.5,364.9,356.0,87702,3.15246736E7,517
2025-01-23,366.0,371.8,364.3,59766,2.18968851E7,412
2025-01-22,369.8,370.0,355.0,137664,4.96697154E7,760
2025-01-21,359.0,361.0,354.0,85995,3.07320311E7,496
2025-01-20,357.5,363.6,351.6,187054,6.67674229E7,930
2025-01-19,366.0,370.0,361.6,83984,3.06799948E7,650
2025-01-16,368.9,377.8,368.0,67591,2.51109057E7,651
2025-01-15,377.8,384.0,370.1,51468,1.94469137E7,386
2025-01-13,377.6,388.6,377.5,84072,3.19080962E7,436
2025-01-12,381.0,385.2,381.0,36094,1.38127291E7,267
2025-01-09,383.4,388.0,381.0,78694,3.02063375E7,394
2025-01-08,387.0,393.5,383.0,45107,1.74195271E7,314
2025-01-07,387.8,395.7,384.0,59219,2.29083205E7,355
2025-01-06,388.0,390.0,382.1,78034,3.01218536E7,414
2025-01-05,384.0,389.7,382.7,88991,3.41669487E7,472
2025-01-02,386.9,390.0,377.4,58340,2.24397818E7,321
2025-01-01,383.6,388.0,377.3,43278,1.66135754E7,291
2024-12-31,385.0,395.0,376.6,132291,5.0756067E7,784
2024-12-29,391.0,404.7,391.0,70534,2.78765418E7,528
2024-12-26,403.0,409.9,388.0,92340,3.69622394E7,632
2024-12-24,396.0,398.0,390.0,51143,2.02051787E7,358
2024-12-23,388.8,391.0,382.2,82637,3.20242516E7,464
2024-12-22,390.0,400.6,387.1,73760,2.8751184E7,470
2024-12-19,392.9,395.1,384.2,73620,2.89019094E7,420
2024-12-18,392.0,412.0,389.1,83131,3.27758912E7,606
2024-12-17,397.0,399.9,395.5,80508,3.20152937E7,456
2024-12-16,398.2,403.0,395.0,113101,4.50288441E7,729
2024-12-12,403.0,423.3,402.8,84801,3.4642192E7,509
2024-12-11,415.0,415.0,397.0,150942,6.07778821E7,798
2024-12-10,405.0,411.0,396.9,58539,2.36948092E7,340
2024-12-09,405.0,411.4,396.9,66907,2.7135316E7,494
2024-12-08,405.0,414.9,400.1,159922,6.45771915E7,708
2024-12-05,409.9,415.0,406.0,155704,6.37547178E7,919
2024-12-04,415.2,425.0,415.0,143772,6.00791284E7,764
2024-12-03,419.8,436.0,417.0,410484,1.725113479E8,1138
2024-12-02,427.9,430.0,425.0,181491,7.75677241E7,391
2024-12-01,428.8,444.0,427.2,126527,5.43367901E7,358
2024-11-28,435.3,437.9,430.0,81755,3.55740573E7,325
2024-11-27,436.9,438.8,431.6,77997,3.38773615E7,383
2024-11-26,434.5,435.7,425.1,114088,4.8908653E7,396
2024-11-25,425.0,435.5,422.1,108838,4.61789681E7,448
2024-11-24,427.0,430.0,423.0,112104,4.75489452E7,583
2024-11-21,426.3,433.0,426.0,111250,4.76550528E7,537
2024-11-20,429.9,439.8,428.0,116555,5.00114961E7,550
2024-11-19,431.2,442.0,429.1,230820,9.98588684E7,957
2024-11-17,440.3,447.0,440.0,164538,7.27383072E7,805
2024-11-14,445.1,453.0,443.3,124178,5.54020349E7,551
2024-11-13,451.7,464.1,448.0,70413,3.18677048E7,299
2024-11-12,457.0,463.0,450.0,98128,4.4800783E7,383
2024-11-11,454.0,462.1,450.0,159935,7.27579312E7,547
2024-11-10,449.8,449.8,442.1,82617,3.68150294E7,462
2024-11-06,440.0,447.0,439.0,63545,2.80839914E7,340
2024-11-05,444.0,455.8,440.0,51361,2.29624644E7,300
2024-10-30,445.8,454.0,443.1,77838,3.48385688E7,397
2024-10-29,450.9,452.0,445.0,65634,2.95006224E7,316
2024-10-28,443.0,452.0,441.0,59809,2.65722574E7,303
2024-10-27,444.0,446.0,437.0,55784,2.46543124E7,323
2024-10-24,443.0,455.0,439.0,104890,4.65212252E7,609
2024-10-23,452.0,460.0,450.0,182640,8.27212173E7,1022
2024-10-22,465.0,476.0,459.5,104000,4.83958457E7,554
2024-10-21,469.2,480.0,468.4,70285,3.31988539E7,434
2024-10-20,480.0,495.0,479.1,187805,9.07836644E7,704
2024-10-17,493.0,505.0,493.0,80563,4.00148983E7,397
2024-10-16,498.7,501.9,484.0,302170,1.475060633E8,500
2024-10-15,486.8,489.0,476.0,14812,7140200.7,133
2024-10-09,478.0,483.0,473.0,38554,1.84207922E7,264
2024-10-08,480.0,485.0,468.0,270991,1.28676088E8,340
2024-10-07,475.0,483.4,475.0,61966,2.97124892E7,322
2024-10-06,474.0,476.9,462.0,70077,3.28144749E7,355
2024-10-02,462.0,474.0,458.0,106390,4.92911554E7,458
2024-10-01,458.7,463.9,441.0,118682,5.3583406E7,468
2024-09-30,440.0,442.9,435.0,39543,1.73531252E7,251
2024-09-29,436.0,440.0,429.0,32022,1.3974891E7,266
2024-09-26,437.0,448.0,433.7,57402,2.52643686E7,311
2024-09-25,442.5,442.6,427.0,78402,3.41969401E7,360
2024-09-24,430.2,444.0,430.0,114932,5.00980694E7,556
2024-09-23,444.5,461.0,443.0,87158,3.89244783E7,447
2024-09-22,452.0,471.0,449.2,78178,3.55611583E7,441
2024-09-18,455.0,458.0,447.0,59933,2.71634357E7,389
2024-09-16,452.9,469.0,452.1,93821,4.28890833E7,433
2024-09-15,462.0,478.2,460.0,121891,5.67850176E7,635
2024-09-12,469.0,470.0,456.0,89053,4.11643032E7,475
2024-09-11,458.5,465.5,457.1,73610,3.38922787E7,406
2024-09-10,460.0,473.0,455.0,121413,5.59774221E7,578
2024-09-09,465.0,479.0,460.0,108664,5.06912554E7,605
2024-09-08,474.5,488.0,470.0,63926,3.05157178E7,477
2024-09-05,479.0,489.0,473.0,85177,4.0729551E7,552
2024-09-04,482.0,507.9,480.0,78221,3.81746592E7,544
2024-09-03,498.0,512.0,489.6,196070,9.69404984E7,913
2024-09-02,501.0,503.9,480.0,124169,6.11611379E7,659
2024-09-01,485.2,503.8,485.0,122470,5.97218674E7,586
2024-08-29,494.0,503.0,489.3,125957,6.21183728E7,695
2024-08-28,498.0,516.0,493.0,141796,7.10763926E7,818
2024-08-27,497.0,525.0,496.1,251927,1.277552438E8,1226
2024-08-25,516.0,537.9,515.0,264501,1.37841516E8,1028
2024-08-22,528.0,542.6,527.0,198426,1.058798396E8,934
2024-08-21,530.0,539.0,525.0,209828,1.114926272E8,1070
2024-08-18,537.7,564.0,535.0,480715,2.62926484E8,2104
2024-08-15,545.1,557.0,518.5,751075,4.09374057E8,2658
2024-08-14,520.0,523.0,508.0,193085,9.94130026E7,979
2024-08-13,516.0,535.5,513.0,192089,1.002960012E8,1226
2024-08-12,525.0,534.0,504.0,429436,2.240762059E8,1770
2024-08-11,504.3,508.0,490.0,437035,2.195998879E8,1736
2024-08-08,487.0,495.0,480.0,245160,1.196522028E8,1247
2024-08-07,483.0,487.4,470.0,214696,1.031471271E8,1341
2024-08-06,474.4,495.9,474.0,499757,2.412224002E8,2697
2024-08-05,495.9,506.7,480.0,677340,3.362217375E8,3679
2024-08-01,517.0,540.6,516.0,397416,2.07735106E8,1932
2024-07-31,530.0,539.0,525.0,321197,1.709332112E8,1481
2024-07-30,530.0,537.6,515.5,296884,1.562780697E8,1706
2024-07-29,534.5,573.0,533.0,415282,2.254811643E8,2566
2024-07-28,552.0,552.0,511.9,642139,3.481698856E8,2881
2024-07-25,501.9,505.0,491.0,163606,8.17363285E7,817
2024-07-24,499.0,520.0,497.9,218750,1.108221993E8,1129
2024-07-23,508.0,513.0,490.0,280089,1.413141597E8,1150
2024-07-22,502.0,513.0,492.0,201152,1.004347342E8,1213
2024-07-21,504.2,511.0,492.5,272349,1.369632655E8,1490
2024-07-18,500.0,525.0,469.2,331046,1.650536467E8,1800
2024-07-17,478.6,482.4,466.0,193151,9.19499088E7,1167
2024-07-16,461.0,469.0,439.0,139792,6.31233208E7,681
2024-07-15,443.2,457.9,443.0,155082,6.96412588E7,803
2024-07-14,449.0,468.0,447.0,157454,7.10944654E7,883
2024-07-11,446.1,447.2,438.0,117154,5.18755279E7,640
2024-07-10,438.0,441.7,433.0,98818,4.32382099E7,496
2024-07-09,433.1,435.0,422.0,72357,3.10360075E7,381
2024-07-08,427.0,434.0,426.4,74221,3.18210009E7,384
2024-07-07,429.0,430.0,421.3,73287,3.12158762E7,447
2024-07-04,424.6,430.1,417.0,106679,4.52178243E7,571
2024-07-03,420.0,420.0,407.0,75714,3.13472907E7,380
2024-07-02,418.0,440.0,408.0,147642,6.17935109E7,820
2024-07-01,400.0,400.5,391.1,48992,1.93220757E7,323
2024-06-30,394.1,400.0,393.5,45391,1.79085586E7,257
2024-06-27,397.0,399.0,394.0,56848,2.25593892E7,268
2024-06-26,397.0,406.0,396.6,45572,1.81218719E7,228
2024-06-25,398.1,408.3,397.2,42749,1.70763092E7,302
2024-06-24,400.4,408.9,400.0,40516,1.62751717E7,288
2024-06-23,403.0,409.0,400.0,32541,1.30489799E7,264
2024-06-20,401.1,412.0,401.1,42682,1.71745185E7,279
2024-06-19,404.0,408.0,402.0,30586,1.23842175E7,225
2024-06-18,404.0,410.0,403.0,58636,2.38013805E7,359
2024-06-16,412.0,420.0,410.0,69817,2.87503419E7,315
2024-06-13,415.1,418.0,411.5,45758,1.89137284E7,248
2024-06-12,418.0,425.0,418.0,81660,3.4375632E7,414
2024-06-11,418.0,421.0,402.0,71137,2.91977036E7,452
