Age,Education Level,Years of Experience,Annual Working Hours,Salary Category
58,2,19,1575,1
48,1,23,1653,0
34,1,32,2155,0
27,1,23,1934,0
40,3,10,2496,1
58,2,7,1585,1
38,1,35,2196,0
42,4,37,1784,2
30,1,39,2473,0
30,1,19,1719,0
43,3,34,1568,2
55,3,24,1546,2
59,2,34,1593,1
43,4,24,2249,2
22,3,28,2457,2
41,1,17,1952,0
21,2,17,1703,1
43,1,1,2411,0
49,1,34,1717,0
57,3,15,1973,1
21,2,35,1931,1
40,4,32,1840,2
52,4,3,2050,0
31,3,32,2111,2
41,3,13,1788,1
44,2,20,1753,1
46,4,19,2233,2
47,4,7,1856,1
35,4,6,1522,1
34,1,2,2261,0
22,4,16,2021,2
56,1,32,2257,0
26,2,11,2336,1
40,1,21,1599,0
28,2,21,2301,1
58,4,29,1679,2
37,4,37,1722,2
23,2,37,2405,1
44,3,7,2261,1
33,2,26,2158,1
28,3,26,1941,2
45,1,33,2107,0
21,1,20,2268,0
39,1,29,1824,0
47,4,32,2015,2
26,1,27,1515,0
27,3,32,2291,2
54,1,4,1835,0
33,2,18,2258,1
36,2,3,1757,0
55,4,34,1996,2
59,2,16,2487,1
23,3,27,2395,2
21,1,29,1659,0
25,4,28,1974,2
23,1,5,2351,0
48,1,34,2163,0
37,3,36,2407,2
45,2,23,2189,1
53,2,28,2174,1
29,1,30,1879,0
55,4,34,2044,2
33,2,32,2428,1
50,4,20,2456,2
34,2,31,2190,1
27,4,22,1926,2
33,3,32,2112,2
42,4,2,1767,0
59,3,17,2334,2
40,3,24,2076,2
35,4,30,1916,2
37,3,2,1667,0
43,1,39,2341,0
45,3,23,1542,2
44,2,31,2055,1
48,4,21,1784,2
34,1,22,1896,0
20,4,1,1511,0
44,2,26,2106,1
26,2,1,1801,0
28,2,25,2397,1
43,3,16,1752,2
20,3,39,1998,2
27,4,32,2253,2
43,4,8,1534,1
30,1,38,2226,0
36,1,28,2348,0
27,4,25,1589,2
54,3,34,2275,2
54,2,24,2104,1
52,4,23,2421,2
24,1,12,2469,0
58,3,6,2101,1
47,4,35,1917,2
26,4,19,1614,2
28,3,0,2116,0
27,4,7,2402,1
31,3,15,1695,1
53,2,13,2325,1
52,3,11,2000,1
42,3,22,2125,2
43,3,14,1992,1
56,4,27,1574,2
54,4,33,1912,2
59,3,1,1875,0
41,4,31,1919,2
46,1,22,2228,0
54,1,21,1776,0
20,4,24,2260,2
54,4,21,2175,2
56,3,21,1893,2
33,2,5,2368,0
22,4,14,1956,1
20,1,36,2419,0
24,3,32,1691,2
45,4,7,2238,1
33,1,4,2188,0
58,1,38,1598,0
46,2,3,2047,0
28,3,5,2477,0
34,3,31,2498,2
34,2,29,1595,1
45,2,34,2163,1
32,3,39,2162,2
51,3,15,1689,1
58,4,12,2235,1
51,4,29,1536,2
23,2,18,2279,1
49,4,16,1868,2
56,1,18,2194,0
42,4,27,2024,2
58,4,25,1778,2
34,1,36,1716,0
48,2,25,2366,1
55,1,22,2372,0
32,4,8,2297,1
51,2,11,1772,1
26,4,0,2380,0
41,1,0,1561,0
47,1,33,2095,0
21,4,31,2379,2
25,3,24,2228,2
47,3,39,1841,2
47,1,0,1896,0
39,1,15,2198,0
49,3,38,1518,2
30,3,4,1676,0
47,4,21,2111,2
44,4,28,1895,2
58,3,2,1944,0
