S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-02-20,910.00,921.00,908.00,910.00,0.00,"25,513.00","23,323,952.60"
2,2025-02-18,902.00,911.90,895.10,910.00,1.45,"30,997.00","28,087,993.80"
3,2025-02-17,898.90,901.00,885.00,897.00,1.36,"18,497.00","16,546,112.20"
4,2025-02-16,890.00,890.00,880.20,885.00,0.57,"12,892.00","11,391,593.30"
5,2025-02-13,881.00,885.00,878.10,880.00,-0.11,"16,608.00","14,623,922.90"
6,2025-02-12,880.00,890.00,876.00,881.00,-0.34,"30,008.00","26,421,432.30"
7,2025-02-11,888.00,896.90,882.00,884.00,-0.45,"16,770.00","14,884,239.80"
8,2025-02-10,900.00,900.00,885.00,888.00,-0.45,"17,702.00","15,744,685.60"
9,2025-02-09,905.00,909.50,890.00,892.00,-1.01,"16,984.00","15,238,614.60"
10,2025-02-06,907.00,907.00,900.00,901.10,-0.60,"18,337.00","16,537,624.90"
11,2025-02-05,910.00,920.00,902.00,906.50,-0.38,"30,104.00","27,306,098.90"
12,2025-02-04,929.10,929.10,909.90,910.00,-1.09,"24,609.00","22,614,932.50"
13,2025-02-03,932.50,945.00,917.00,920.00,-0.76,"26,153.00","24,320,064.50"
14,2025-02-02,924.00,927.00,910.50,927.00,2.21,"31,213.00","28,671,854.80"
15,2025-01-28,916.90,916.90,900.00,907.00,0.61,"11,351.00","10,248,688.30"
16,2025-01-27,911.00,913.00,899.90,901.50,-0.61,"12,071.00","10,891,358.90"
17,2025-01-26,922.00,929.00,907.00,907.00,-1.52,"17,074.00","15,635,610.50"
18,2025-01-23,920.00,934.00,920.00,921.00,0.46,"26,075.00","24,120,163.30"
19,2025-01-22,890.00,917.00,889.00,916.80,3.59,"32,509.00","29,463,934.00"
20,2025-01-21,892.00,892.00,880.00,885.00,0.67,"12,751.00","11,259,357.80"
21,2025-01-20,892.00,892.00,879.00,879.10,0.01,"11,172.00","9,876,828.60"
22,2025-01-19,878.10,885.00,874.10,879.00,0.10,"11,594.00","10,179,093.50"
23,2025-01-16,875.00,885.00,875.00,878.10,0.47,"10,441.00","9,159,643.30"
24,2025-01-15,891.00,898.90,874.00,874.00,-1.58,"18,678.00","16,505,787.60"
25,2025-01-13,903.00,904.00,887.30,888.00,-1.34,"21,784.00","19,423,527.60"
26,2025-01-12,925.10,925.10,900.00,900.10,-0.76,"12,889.00","11,628,176.00"
27,2025-01-09,912.00,916.00,905.00,907.00,-0.55,"23,532.00","21,432,742.50"
28,2025-01-08,920.00,929.90,910.50,912.00,-0.32,"14,356.00","13,103,317.40"
29,2025-01-07,932.00,932.00,908.00,914.90,0.10,"16,020.00","14,619,799.40"
30,2025-01-06,930.00,930.00,905.00,914.00,0.22,"17,641.00","16,052,787.30"
31,2025-01-05,915.30,920.00,905.00,912.00,-0.76,"24,125.00","21,967,715.70"
32,2025-01-02,931.00,931.00,916.00,919.00,-3.25,"33,053.00","30,392,148.20"
33,2025-01-01,971.10,971.10,948.00,949.90,-0.23,"59,232.00","56,381,814.50"
34,2024-12-31,960.30,965.00,950.10,952.10,-0.85,"24,290.00","23,209,218.20"
35,2024-12-29,951.00,962.00,951.00,960.30,1.19,"35,783.00","34,250,243.00"
36,2024-12-26,943.00,950.00,943.00,949.00,0.64,"22,193.00","21,007,270.00"
37,2024-12-24,939.00,952.00,939.00,943.00,0.08,"15,851.00","15,021,487.50"
38,2024-12-23,945.00,954.00,925.00,942.20,-0.08,"19,818.00","18,662,075.50"
39,2024-12-22,955.70,973.00,942.00,943.00,0.64,"41,267.00","39,170,901.80"
40,2024-12-19,942.00,950.00,930.00,937.00,-0.53,"23,427.00","21,860,665.20"
41,2024-12-18,946.00,952.00,940.00,942.00,-0.42,"13,557.00","12,790,791.30"
42,2024-12-17,945.00,949.90,937.00,946.00,0.42,"12,083.00","11,415,648.20"
43,2024-12-16,969.00,969.00,937.90,942.00,-0.84,"23,470.00","22,116,807.50"
44,2024-12-12,970.00,970.00,950.00,950.00,-1.24,"15,518.00","14,805,206.60"
45,2024-12-11,969.00,969.00,951.00,961.90,0.72,"15,840.00","15,136,660.30"
46,2024-12-10,968.50,968.50,950.00,955.00,0.12,"10,810.00","10,339,167.50"
